file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0334_0363_2198370_to_2207039,མཚམས་མཚམས་ད་ཨེ་འདྲའི་ག་རེ་ལབ་དགོས་རེད་ད་གནམ་གཤིས་ཡག་པོ་མ་སླེབས་འདྲ་བོ་བྱས་ན། ད་ཨེ་འདྲའི་བྱས་ནས་ད་མི་ཁ་ཤས་ས་ཆ་ལོགས་ཀ་ལ་བབས་འདྲ་བོ་བྱས། ཁ་ཤས་ཤིང་ནགས་ནང་ལོགས་ལ་འཛེགས་འདྲ་བོ་བྱེད་ཀི་འདུག་བ་ཡ།  ,mtshams mtshams da e 'dra'i ga re lab dgos red da gnam gshis yag po ma slebs 'dra bo byas na/_da e 'dra'i byas nas da mi kha shas sa cha logs ka la babs 'dra bo byas/_kha shas shing nags nang logs la 'dzegs 'dra bo byed ki 'dug ba ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0334_0363_2198370_to_2207039.wav,STT_NS,3,189,8.669,wav16k/STT_NS_M0334_0363_2198370_to_2207039.wav,མཚམས་མཚམས་ད་ཨེ་འདྲའི་ག་ལབ་དགོས་རེད་ད་གནམ་གཤིས་ཡག་པོ་མ་སླེབས་འདྲ་བོ་བྱས་ན་ད་ཨེ་འདྲའི་བྱས་ནས་ད་མི་ཁ་ཤས་ས་ཆ་ལོགས་ཀ་ལ་བབས་འདྲ་བོ་བྱས། ཁ་ཤས་ཤིང་ནགས་ནང་ལོགས་ལ་འཛེག་འདྲ་བོ་བྱེད་ཀི་འདུག་བ་ཡ།
STT_NS_M0334_0374_2276390_to_2279496,ཞེད་སྣང་དེ་ད་ལྟ་ཡང་འདུག་ཡོད་བ། ཁོང་ཚོ་ཡ་ཡུད་ཤུགས་ཆེན་པོ་འགྲོ་དུས་མཚམས་མཚམས།  ,zhed snang de da lta yang 'dug yod ba/_khong tsho ya yud shugs chen po 'gro dus mtshams mtshams/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0334_0374_2276390_to_2279496.wav,STT_NS,3,77,3.106,wav16k/STT_NS_M0334_0374_2276390_to_2279496.wav,ཞེད་སྣང་དེ་ད་ལྟ་ཡང་འདུག་ཡོད་བ། ཁོ་ཚོ་ཡ་ཡུད་ཤུགས་ཆེན་པོ་འགྲོ་དུས་མཚམས་མཚམས།
STT_NS_M0292_0076_742764_to_750247,ཐུགས་རྗེ་ཆེ་ལབ་ནས་ཞུ་ཡ་ཡིན་ཟེར་རཱ། ད། ཨེ་ནས་ཡོད་བ། ད་རྒན་ལགས་ཁྱེད་རང་། ད་རྒྱ་གར་སླེབས་ནས་ལོ་མང་པོ། མང་དག་ཞིག་ཕྱིན་འདུག ད་ག་ནང་བཞིན་ད།  ,thugs rje che lab nas zhu ya yin zer rA/_da/_e nas yod ba/_da rgan lags khyed rang /_da rgya gar slebs nas lo mang po/_mang dag zhig phyin 'dug_da ga nang bzhin da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0292_0076_742764_to_750247.wav,STT_NS,3,135,7.483,wav16k/STT_NS_M0292_0076_742764_to_750247.wav,ཐུགས་རྗེ་ཆེ་གནང་ཞུ་ཡ་ཡིན་ཟེར་རཱ། ད་ཨེ་ནས་ཡོད་བ། ད་རྒན་ལགས་ཁྱེད་རང་ད་རྒྱ་གར་སླེབས་ནས་ལོ་མང་པོ་མང་དག་ཅིག་ཕྱིན་འདུག ད་ག་ནང་བཞིན་ད།
STT_AB00264_0173_1268233_to_1272295,ཕུན་ཚོགས་ཚོགས་འདུར་ཡོང་ཁར་གྱོས་པོ་དང་ཚེ་བརྟན་ལྷ་མོ་གཉིས་ཀས་ ,phun tshogs tshogs 'dur yong khar gyos po dang tshe brtan lha mo gnyis kas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00264_0173_1268233_to_1272295.wav,STT_AB,3,60,4.062,wav16k/STT_AB00264_0173_1268233_to_1272295.wav,ཕུན་ཚོགས་ཚོགས་འདུར་ཡོང་ཁར་གྱོད་པོ་དང་ཚེ་བརྟན་ལྷ་མོ་གཉིས་ཀས་
STT_TT00678_0704_5168852_to_5172852,ལས་དང་པོ་བས་ལེན་པ་སྔོན་དང་གཏོང་བ་རྗེས་སུ་བྱེད་པར་གསུངས་པ་ལྟར་བསྒོམ་རྒྱུ།  ,las dang po bas len pa sngon dang gtong ba rjes su byed par gsungs pa ltar bsgom rgyu/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00678_0704_5168852_to_5172852.wav,STT_TT,3,74,4.0,wav16k/STT_TT00678_0704_5168852_to_5172852.wav,ལས་དང་པོ་བས་ལེན་པ་སྔོན་དང་། གཏོང་བ་རྗེས་སུ་བྱེད་པར་གསུངས་པ་ལྟར་སྒོམ་རྒྱུ།
STT_TT00678_0705_5174360_to_5183063,སྙིང་རྗེའི་དམིགས་པ་རྩལ་དུ་བཏོན་ནས་གཞན་གྱི་སྡུག་བསྔལ་རྒྱུ་དང་བཅས་པ་རང་གིས་ལེན་པ་དང་། གཏོང་བའི་སྐབས། བྱམས་པའི་དམིགས་པ་རྩལ་དུ་བཏོན་ནས་རང་གི་བདེ་བ་རྒྱུ་དང་བཅས་པ་གཞན་ལ་གཏོང་བ་སྒོམ་དགོས།  ,snying rje'i dmigs pa rtsal du bton nas gzhan gyi sdug bsngal rgyu dang bcas pa rang gis len pa dang /_gtong ba'i skabs/_byams pa'i dmigs pa rtsal du bton nas rang gi bde ba rgyu dang bcas pa gzhan la gtong ba sgom dgos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00678_0705_5174360_to_5183063.wav,STT_TT,3,182,8.703,wav16k/STT_TT00678_0705_5174360_to_5183063.wav,སྙིང་རྗེའི་དམིགས་པ་རྩལ་དུ་བཏོན་ནས། གཞན་གྱི་སྡུག་བསྔལ་རྒྱུ་དང་བཅས་པ་རང་གིས་ལེན་པ་དང་། གཏོང་བའི་སྐབས། བྱམས་པའི་དམིགས་པ་རྩལ་དུ་བཏོད་ནས། རང་གི་བདེ་བ་རྒྱུ་དང་བཅས་པ་གཞན་ལ་གཏོང་བ་སྒོམ་དགོས།
STT_NS_M0334_0354_2154650_to_2159991,ག་རེ་ལབ་དགོས་རེད་ད། ཕྱི་ལོགས་ནས་མི་སླེབས་འདུག་ལབ་ན་ཁོང་ཚོ་ཡ་ཡུད་དགྲ་སྡང་པོ་བྱེད་ཀི་འདུག་བ། ཨེ་ནས་ཨོ་དེ་ད་མཐའ་མ་དེ་ལ་ད་མོ་ཨེ་འདྲའི་མོ་རང་།  ,ga re lab dgos red da/_phyi logs nas mi slebs 'dug lab na khong tsho ya yud dgra sdang po byed ki 'dug ba/_e nas o de da mtha' ma de la da mo e 'dra'i mo rang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0334_0354_2154650_to_2159991.wav,STT_NS,3,139,5.341,wav16k/STT_NS_M0334_0354_2154650_to_2159991.wav,ག་ལབ་དགོས་རེད་ད། ཕྱི་ལོགས་མི་སླེབས་འདུག་ལབ་ན་ཁོ་ཚོ་ཡ་ཡུད་གྲ་དང་པོ་བྱེད་ཀི་འདུག་བ། ཨེ་ནས་ཨོ་དེ་ད་མཐའ་མ་དེ་ལ་ད་མོ་ཨེ་འདྲའི་མོ་རང་།
STT_AB00071_0032_185464_to_188670,མ་འོངས་པར་ཁྱོད་ལ་གནས་ཚུལ་འདྲ་མིན་གྱི་ཐོག་ནས་ ,ma 'ongs par khyod la gnas tshul 'dra min gyi thog nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00071_0032_185464_to_188670.wav,STT_AB,3,45,3.206,wav16k/STT_AB00071_0032_185464_to_188670.wav,མ་འོངས་པར་ཁྱོད་ལ་གནས་ཚུལ་འདྲ་མིན་གྱི་ཐོག་ནས་
STT_TT00678_0712_5213080_to_5217039,ཨ། མ་མ་བྱས་པའི་གནས་སྐབས་ལ་ཡང་། བཀའ་དྲིན་ཆེན་པོ། ད་གི་བཞི་འདུག་ཨ། བཀའ་དྲིན་བཞི་དེ་བསྒོམ་དགོས།  ,a/_ma ma byas pa'i gnas skabs la yang /_bka' drin chen po/_da gi bzhi 'dug a/_bka' drin bzhi de bsgom dgos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00678_0712_5213080_to_5217039.wav,STT_TT,3,94,3.959,wav16k/STT_TT00678_0712_5213080_to_5217039.wav,ཨ། མ་མ་བྱས་པའི་གནས་སྐབས་ལ་ཡང་།བཀའ་དྲིན་ཆེན་པོ། ད་གིན་བཞི་འདུག་ག། བཀའ་དྲིན་བཞི་དེ་སྒོམ་དགོས།
STT_NS_M0334_0355_2161220_to_2166697,ལྷོ་ཀོ་རི་ཡ་ལ་ད་མོ་རང་འབྱོར་གི་རེད་ཡོད་བ། ཨེ་ནས་མོ་ནང་མི་དེ་ཚོ་ད་མོ་རང་མཐོང་། མོ་ལ་མཐོང་ཧང་སང་བྱེད་ཡ་ཅིག་མེད།  ,lho ko ri ya la da mo rang 'byor gi red yod ba/_e nas mo nang mi de tsho da mo rang mthong /_mo la mthong hang sang byed ya cig med/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0334_0355_2161220_to_2166697.wav,STT_NS,3,111,5.477,wav16k/STT_NS_M0334_0355_2161220_to_2166697.wav,ལྷོ་ཀོ་རི་ཡ་ལ་ད་མོ་རང་འབྱོར་གི་རེད་ཡོད་བ། ཨེ་ནས་མོ་ནང་མི་དེ་ཚོ་ད་མོ་རང་མཐོང་མོ་ལ་མཐོང་ལ་ཧང་སང་བྱེད་ཡ་ཅིག་མེད་བེ།
